row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,1.754392147;-0.9577476382;1.028154612;-1.49308157;-1.064033389;-1.072880864;0.8005417585;0.3130349815,,,,,
POINT,1,,-1.431460023;0.3628058434;1.161265612;-1.29381001;-1.223806739;2.078011274;1.869803548;-2.448635817,,,,,
POINT,2,,-0.2170000672;0.1641310751;-0.3452766836;0.662535429;0.1896389872;0.06631933153;0.2232183069;-0.8942888379,,,,,
POINT,3,,-0.01139296498;1.243034482;-1.001561165;-0.3796792626;1.473143697;-0.1605673879;0.4443456531;0.6093304157,,,,,
POINT,4,,1.792156816;0.7993299365;1.002685785;1.659560442;0.7116523385;0.1065607145;0.9522305727;1.765629888,,,,,
POINT,5,,0.3886316121;-1.526822329;0.6575323343;-0.9664312601;-0.168125093;1.368299007;-0.9501101971;0.5601575375,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.1925932914;2.417141438;2.731873035;-0.5037642121;-1.003904939;2.208141327;-0.08829971403;-0.2601176202,1,,,1
SUBSET_WITNESS,,{0},,1.754392147;-0.9577476382;1.028154612;-1.49308157;-1.064033389;-1.072880864;0.8005417585;0.3130349815,1,0,5.410932326,1
SUBSET_WITNESS,,{1},,-1.431460023;0.3628058434;1.161265612;-1.29381001;-1.223806739;2.078011274;1.869803548;-2.448635817,1,0,14.69703791,1
SUBSET_WITNESS,,{2},,-0.2170000672;0.1641310751;-0.3452766836;0.662535429;0.1896389872;0.06631933153;0.2232183069;-0.8942888379,1,0,4.779175536,1
SUBSET_WITNESS,,{3},,-0.01139296498;1.243034482;-1.001561165;-0.3796792626;1.473143697;-0.1605673879;0.4443456531;0.6093304157,1,0,3.280964961,1
SUBSET_WITNESS,,{4},,1.792156816;0.7993299365;1.002685785;1.659560442;0.7116523385;0.1065607145;0.9522305727;1.765629888,1,0,8.532302499,1
SUBSET_WITNESS,,{5},,0.3886316121;-1.526822329;0.6575323343;-0.9664312601;-0.168125093;1.368299007;-0.9501101971;0.5601575375,1,0,3.280964961,1
SUBSET_WITNESS,,"{0,1}",,0.7510089874;-0.03919481486;1.143319011;-1.504609227;-1.315826893;1.291355968;1.138265252;-1.495224476,7.531216621,7.040968895,7.856294438,1
SUBSET_WITNESS,,"{0,2}",,0.9233334661;-0.4826619327;0.1596765667;-0.7478724122;-0.5780453682;-0.7544591427;0.2627361715;-0.6779394746,3.827832222,3.834797718,4.882452693,1
SUBSET_WITNESS,,"{0,3}",,0.9757881761;-1.065525651;1.76006496;-0.9835996628;0.6747977734;0.8285605907;0.4002371728;0.4967825413,3.23058033,2.437686891,4.60271132,1
SUBSET_WITNESS,,"{0,4}",,1.711775184;-0.2807973027;0.6080851555;1.212536097;-0.6920244098;-0.4244389832;0.703014791;0.8293645978,3.710448503,3.562863145,4.978584289,1
SUBSET_WITNESS,,"{0,5}",,1.032766461;-1.171521425;0.8963631392;-1.595051646;-0.7868658304;1.450728655;-0.4115407169;-0.002172909444,2.639847755,1.989259556,3.711184945,1
SUBSET_WITNESS,,"{1,2}",,-1.024405241;0.4066695273;0.786354661;-0.9564008713;-0.9015741348;1.603171825;0.63712883;-1.838822484,4.508239746,4.255162973,8.367785255,1
SUBSET_WITNESS,,"{1,3}",,-0.8760591149;-0.4833832979;0.9644774795;-1.065303206;-0.762519598;1.905712366;1.93518436;-0.6751317978,5.204077244,4.767093078,5.357228504,1
SUBSET_WITNESS,,"{1,4}",,0.9942016602;1.11519897;2.364683867;0.9481580853;-0.1575211883;1.403773189;2.394348621;-1.427075267,12.30721569,12.10278397,12.9087356,1
SUBSET_WITNESS,,"{1,5}",,-0.5099245906;-1.210546255;0.7891848683;-1.140116453;-0.7216147184;1.747392297;1.536401868;-0.9353348613,5.037536621,4.004637299,6.997587212,1
SUBSET_WITNESS,,"{2,3}",,-0.2766217291;0.7081338763;-0.5730754137;-0.8422099948;1.349416733;0.4593047202;0.1466228515;0.02397858724,1.962183952,1.968818354,4.934182008,1
SUBSET_WITNESS,,"{2,4}",,1.217716575;0.7261510491;0.6876160502;0.8109610677;1.081242561;0.6465001702;0.02916085906;0.03036035597,4.442728996,4.559815354,6.509291204,1
SUBSET_WITNESS,,"{2,5}",,0.05200221762;-0.8600189686;0.5789264441;-0.2595639229;0.17796655;0.6339365244;-0.777670145;-0.3351741731,3.063781738,2.554208598,4.611577855,1
SUBSET_WITNESS,,"{3,4}",,0.854098618;1.207226276;-0.3077009022;1.238784552;1.34589231;0.1935201287;0.6793857813;1.100501776,3.389508247,2.856407317,5.389449657,1
SUBSET_WITNESS,,"{3,5}",,0.5403370857;-1.542112231;-0.152506575;-0.444611609;1.93974793;1.974991679;-0.4935072064;0.7265922427,2.775323153,1.958968588,6.291457115,1
SUBSET_WITNESS,,"{4,5}",,1.108768344;-0.7958235145;0.4608902633;-0.3732666671;0.1257907748;0.7779577374;-0.7424531579;1.321501136,4.111318111,3.710758914,4.375678306,1
SUBSET_WITNESS,,"{0,1,2}",,0.2100672871;-0.1187555119;1.01200366;-1.284651756;-1.266475916;1.342693806;1.09083581;-1.48619616,6.794326305,6.826445469,7.372703903,1
SUBSET_WITNESS,,"{0,1,3}",,0.07689041644;1.149219036;1.435815573;-1.470525384;-1.304381013;1.561663985;1.482519746;-0.9040285349,6.821303844,6.702844611,7.258147039,1
SUBSET_WITNESS,,"{0,1,4}",,1.030242324;1.907925129;1.891979456;0.4976196587;-0.2463715822;1.386937976;2.168935061;-1.439875364,12.37522125,11.67448539,12.6675961,1
SUBSET_WITNESS,,"{0,1,5}",,0.1421331465;-1.205703139;0.8436893821;-1.279666543;-1.151204348;1.505555153;1.423218012;-1.010193229,6.347952843,5.460998015,7.641654428,1
SUBSET_WITNESS,,"{0,2,3}",,0.6381494999;-0.4919418097;-0.5806878805;-0.4762153924;0.4773792624;-0.7671969533;0.3143455088;-0.2765710354,3.85696888,3.432858661,4.285978843,1
SUBSET_WITNESS,,"{0,2,4}",,1.541804314;0.3384075761;0.6605074406;0.2627183199;-0.2089351416;-0.5792004466;0.08096701652;0.2698352337,5.460073471,5.160786973,6.034041142,1
SUBSET_WITNESS,,"{0,2,5}",,0.843927145;-1.408951283;0.3287425935;-1.028188467;-0.5499078631;0.5167117119;-0.3782348931;-0.6119426489,3.839523315,3.844917493,5.138517233,1
SUBSET_WITNESS,,"{0,3,4}",,1.443317175;-0.4551330209;1.30557549;1.813616872;0.7722988725;-0.3857241869;0.5415573716;0.6153249741,3.983288527,3.548718272,4.722082949,1
SUBSET_WITNESS,,"{0,3,5}",,0.9359059334;-1.070497394;1.500583291;-1.066462398;1.507366657;-0.4690227807;0.2969003916;0.4720219374,3.276999712,2.698201667,7.43684039,1
SUBSET_WITNESS,,"{0,4,5}",,1.380365491;-0.8405502439;0.1972776502;-0.7606557012;0.06225489452;0.4174892306;-0.5780357122;1.350363374,4.240175247,3.995993288,5.313788295,1
SUBSET_WITNESS,,"{1,2,3}",,-0.7400389314;0.05638415366;1.11751318;-1.196660876;-0.9050992727;1.877623796;0.6313840151;-1.039997816,5.308651447,4.411462479,6.433055831,1
SUBSET_WITNESS,,"{1,2,4}",,0.7559067607;0.9448587298;2.186373949;0.5452691913;0.2637774646;1.604687691;2.486444235;-1.392211556,12.80418682,12.77553085,14.00968392,1
SUBSET_WITNESS,,"{1,2,5}",,-0.508967936;-1.281003237;0.8014022112;-0.9307112694;-0.7446987033;1.505793452;0.9458491206;-0.9868752956,5.519714355,4.874751326,6.217390915,1
SUBSET_WITNESS,,"{1,3,4}",,0.7592558265;2.368286848;1.441971302;0.8791763186;0.1742972434;2.676887751;2.502582312;-1.135052085,13.42596626,13.16627634,14.38513012,1
SUBSET_WITNESS,,"{1,3,5}",,-0.8208781481;0.05798054487;1.018996119;-1.183582067;-0.940089047;1.953787446;1.510746717;-0.6123704314,5.183149815,4.946450423,6.431608316,1
SUBSET_WITNESS,,"{1,4,5}",,1.226250648;0.7786608338;1.279230833;-0.4208815098;0.03699513525;2.232530594;2.944903374;-1.424133301,13.97780514,13.73678178,14.22505326,1
SUBSET_WITNESS,,"{2,3,4}",,1.000510097;0.6229475737;-0.1953521371;0.9276690483;0.773938179;1.078650951;0.7076553106;0.3167510927,4.484342098,3.687411794,6.25677851,1
SUBSET_WITNESS,,"{2,3,5}",,0.2204950154;0.0310739819;-1.169282436;-0.2413054109;0.9048511982;1.014999032;-0.5553174019;0.2313006967,3.526236534,2.931044967,5.640803225,1
SUBSET_WITNESS,,"{2,4,5}",,1.326505899;-0.2029260546;0.2047257125;0.2641882896;-0.5317953229;0.2344180495;-0.8598617315;0.497800976,4.631494045,4.610946557,4.795736961,1
SUBSET_WITNESS,,"{3,4,5}",,1.14095521;-0.5991243124;0.2308738977;-0.1318652481;0.7557319403;-0.09774518758;0.4988481104;0.9052364826,4.100339413,3.531069972,5.303907077,1
SUBSET_WITNESS,,"{0,1,2,3}",,0.4176993668;0.01000827085;1.216552615;-1.354001999;-1.360222578;1.388900876;0.9936243892;-1.24786377,6.509680748,6.361092138,7.744907984,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.8710386753;1.936355352;2.016492844;0.3476303816;-0.07674667984;1.555650592;2.150266171;-1.39790678,12.79041767,12.40673703,13.02562202,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.01740269363;-1.080808997;0.4875540435;-1.110174656;-1.081844568;1.222000718;0.8118710518;-1.388323069,6.527064323,6.543916082,7.354467205,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.7022797465;2.807694197;1.913790345;-0.4840035141;-0.7659563422;-1.220725536;1.98065114;-0.6157176495,13.40064526,13.35137205,13.68455712,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.1283206493;-0.9801259637;1.004933238;-1.322999954;-1.075121403;1.773443341;1.629797101;-0.7300130129,6.513098717,6.296854482,7.371042658,1
SUBSET_WITNESS,,"{0,1,4,5}",,1.491767883;0.9281826615;1.109419465;-0.3722532988;-0.5599405766;1.763399839;2.632723331;-1.46783185,13.39831066,13.11187,13.91383941,1
SUBSET_WITNESS,,"{0,2,3,4}",,1.251623392;-0.3477470279;0.5103353262;0.4398874342;0.342674017;-0.7620664239;0.6874248385;0.3379118145,4.697860718,4.415996611,4.869660091,1
SUBSET_WITNESS,,"{0,2,3,5}",,0.9475528598;-0.8185642958;0.6767641306;-1.148976207;0.1222379357;-0.09872924536;0.3575262427;-0.2449572533,3.706262112,3.665314608,8.496854504,1
SUBSET_WITNESS,,"{0,2,4,5}",,1.411303878;0.3162593544;-0.1241380423;-0.8603726625;0.4062371552;0.06260369718;-1.081380129;0.5789737105,5.487257004,5.301886227,5.938953117,1
SUBSET_WITNESS,,"{0,3,4,5}",,1.310171366;-0.4704146087;0.3196854293;-0.7568085194;0.3066583574;-0.3105039001;0.2719727159;0.8027560115,4.194605827,4.035265196,5.754703059,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.4901566803;2.515372753;0.9495919347;0.4577075541;0.02802872285;1.376343489;2.468082428;-1.225735188,12.82116795,12.43992928,13.15770872,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.5838888288;0.2853797376;0.9504806399;-1.023759604;-0.8141894341;1.678495407;0.8950274587;-0.6629638076,5.454559326,5.307941297,8.186185664,1
SUBSET_WITNESS,,"{1,2,4,5}",,1.060003757;0.6500906348;1.705438256;0.5262252092;-0.07976927608;1.493732691;2.205089808;-1.436904192,11.53032875,11.49642583,13.05813423,1
SUBSET_WITNESS,,"{1,3,4,5}",,0.5583842397;1.637411952;0.7428138256;-0.35004884;-0.2485768199;1.886485338;2.683298588;-0.8064928651,10.7514658,10.44449326,11.26046117,1
SUBSET_WITNESS,,"{2,3,4,5}",,1.031004071;-0.2485817969;0.3696242571;-0.07852130383;0.7229645252;-0.1174950749;0.3816759586;0.7870746851,4.744669914,4.655760734,5.84163419,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.5842751265;3.392990828;1.298595667;-0.1811823249;-0.4226277471;-0.8688349128;1.737104535;-0.9228464961,13.99826622,13.99143969,15.43974658,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.1208958551;-1.034107685;0.8217623234;-1.265844345;-1.081320286;1.499590397;1.263019443;-0.7516844869,6.582890511,5.991293083,17.79564895,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,1.36961174;0.651801765;1.18268764;0.4069033563;-0.4243110418;1.613689661;2.264606476;-1.35661757,11.50127316,11.45823202,12.47981897,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.6467641592;1.844319224;1.19856739;-0.6058493853;-0.575063169;1.762153983;2.200741768;-0.7291509509,10.21838665,9.77447178,10.74634497,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.8349562287;-0.3864812851;0.3987811208;-0.4729312956;0.5835345984;0.02013222873;0.5510705709;0.5286929011,4.743632317,4.231022069,22.94051757,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,0.248035863;0.825209558;1.143162251;-0.1351556182;-0.1662581414;1.706886411;2.104881287;-0.4050887823,9.845401764,9.777109707,10.28782798,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,0.3120326698;1.053886294;1.106801391;-0.5730532408;-0.5416796803;1.593144536;1.871987104;-0.3533153236,9.170272827,,,1
